Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Pérez L.M., Freier L.F.",12799123000;36542421000;,My Brother the “Other”: Use of Satire and Boundary-Making by Venezuelan Migrants in Peru,2022,Social Inclusion,10,1,,72,83,,2,10.17645/si.v10i1.4816,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124131818&doi=10.17645%2fsi.v10i1.4816&partnerID=40&md5=ae106a42bf87e49ee80d31f6f9cd70e9,"Department of Social and Political Sciences, Universidad del Pacífico, Peru","Pérez, L.M., Department of Social and Political Sciences, Universidad del Pacífico, Peru; Freier, L.F., Department of Social and Political Sciences, Universidad del Pacífico, Peru","While the criminalization and hyper-sexualization of Venezuelan migrants and refugees across South America have received growing scholarly attention, fairly little is known about the coping strategies of migrants in this context. In this article, we build on quantitative and qualitative data from a survey (N = 100), 72 in-depth interviews, and five focus groups with Venezuelan immigrants in five Peruvian cities, collected between 2018 and 2020, to explore how they make sense of, and react to, negative shifts in public opinion on immigration and the criminalization of Venezuelan nationals. We identify two broad coping mechanisms: (a) opposition to their criminalization, including its satirical ridiculing, and (b) intra-group boundary-making and “othering.” Our findings make an important contribution to the literature on migrant responses to criminalization and intra-group relations in the Global South. © 2022 by the author(s); licensee Cogitatio (Lisbon, Portugal).",Coping; Discrimination; Intra-group othering; Satire; South-South migration; Venezuelan displacement,,"Pérez, L.M.; Department of Social and Political Sciences, Peru; email: l.perez@up.edu.pe",,Cogitatio Press,21832803,,,,English,Soc. Incl.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85124131818
"Freier L.F., Zubrzycki B.",36542421000;6505542468;,How do immigrant legalization programs play out in informal labor markets? The case of Senegalese street hawkers in Argentina,2021,Migration Studies,9,3,,1292,1321,,2,10.1093/migration/mnz044,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132749338&doi=10.1093%2fmigration%2fmnz044&partnerID=40&md5=0c8992d38634b4b2adb68cd7ef3897af,"Departement of Social and Political Science, Universidad del Pacífico, Jr. Sánchez Cerro 2050 Jesús María, Lima 11, Peru; División Etnografía, Museo de Ciencias Naturales de la Universidad Nacional de La Plata, Paseo del Bosque S/N, La Plata, Buenos Aires, 1900, Argentina","Freier, L.F., Departement of Social and Political Science, Universidad del Pacífico, Jr. Sánchez Cerro 2050 Jesús María, Lima 11, Peru; Zubrzycki, B., División Etnografía, Museo de Ciencias Naturales de la Universidad Nacional de La Plata, Paseo del Bosque S/N, La Plata, Buenos Aires, 1900, Argentina","In this article, we take advantage of the quasi-experimental situation of the 2013 legalization program for Senegalese citizens in Argentina to study its effects on immigrant street hawkers' incorporation into the formal labor market, their working conditions, social integration, and collective mobilization. In order to understand the impact of legalization programs, it is important to acknowledge that in informal labor markets, the effects of amnesties are likely less pronounced than in predominantly formal markets. Furthermore, the scope of socioeconomic rights granted to unauthorized migrants and migrants' subjective expectations and aspirations need to be taken into consideration. Based on 50 in-depth interviews and a small N survey, our study suggests that the legalization effect on Senegalese street hawkers' access to the formal sector is limited. However, legal status does benefit migrants' subjective well-being and their disposition to engage in collective action for labor and human rights. © 2019 The Author(s) 2019. Published by Oxford University Press. All rights reserved.",informal labor markets; migrant aspirations; migrant regularization; south-south migration,,"Freier, L.F.; Departement of Social and Political Science, Jr. Sánchez Cerro 2050 Jesús María, Lima 11, Peru; email: lf.freierd@up.edu.pe",,Oxford University Press,20495838,,,,English,Migr. Stud.,Article,Final,,Scopus,2-s2.0-85132749338
"Freier L.F., Luzes M.",36542421000;57215097116;,How humanitarian are humanitarian visas? An analysis of theory and practice in Latin America,2021,"Latin America and Refugee Protection: Regimes, Logics and Challenges",,,,276,293,,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116774661&partnerID=40&md5=48c5e74b60d1cb0c760f85edba416d51,"Universidad del Pacífico (UP), Lima, Peru; Centro de Investigación de la Universidad del Pacífico (CIUP), Lima, Peru","Freier, L.F., Universidad del Pacífico (UP), Lima, Peru; Luzes, M., Centro de Investigación de la Universidad del Pacífico (CIUP), Lima, Peru",[No abstract available],,,"Freier, L.F.; Universidad del Pacífico (UP)Peru",,Berghahn Books,,9781800731158; 9781800731141,,,English,"Latin Am. and Refugee Protection: Regimes, Logics and Chall.",Book Chapter,Final,,Scopus,2-s2.0-85116774661
"Freier L.F., Rodríguez N.F.",36542421000;57290268000;,Trends in Latin American domestic refugee law,2021,"Latin America and Refugee Protection: Regimes, Logics and Challenges",,,,256,275,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116763964&partnerID=40&md5=b8ccbee049bb918df39cb869e32252ca,"Universidad del Pacífico (UP), Lima, Peru; Berlin Social Science Center (WZB), Berlin Graduate School for Transregional Studies (BGTS), Free University of Berlin, Germany","Freier, L.F., Universidad del Pacífico (UP), Lima, Peru; Rodríguez, N.F., Berlin Social Science Center (WZB), Berlin Graduate School for Transregional Studies (BGTS), Free University of Berlin, Germany",[No abstract available],,,"Freier, L.F.; Universidad del Pacífico (UP)Peru",,Berghahn Books,,9781800731158; 9781800731141,,,English,"Latin Am. and Refugee Protection: Regimes, Logics and Chall.",Book Chapter,Final,,Scopus,2-s2.0-85116763964
"Freier L.F., Pérez L.M.",36542421000;12799123000;,Nationality-Based Criminalisation of South-South Migration: the Experience of Venezuelan Forced Migrants in Peru,2021,European Journal on Criminal Policy and Research,27,1,,113,133,,13,10.1007/s10610-020-09475-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099442697&doi=10.1007%2fs10610-020-09475-y&partnerID=40&md5=58c4809a0e4065d1f3a24c248f23768c,"Universidad del Pácifico, Lima 11, Peru","Freier, L.F., Universidad del Pácifico, Lima 11, Peru; Pérez, L.M., Universidad del Pácifico, Lima 11, Peru","This article examines how Venezuelan forced migrants in Peru experience xenophobic discrimination, which has become increasingly linked to their criminalisation as thieves and murderers. Based on 12 months of qualitative fieldwork, including 72 in-depth interviews, five focus groups, and a survey (N116) in five Peruvian cities, we explore how Venezuelans experience, and make sense of, discrimination and criminalisation in everyday life. First, we discuss how criminalisation compares to general xenophobic discrimination, and other types of discrimination experiences. Second, we juxtapose the prevalence of xenophobic discrimination and criminalisation experiences across the five cities of our study, and between public spaces and the workspace. We then move to the qualitative discussion of the criminalisation experience in these different spaces. Fourth, we discuss how Venezuelan migrants perceive this criminalising discrimination as linked to their villanisation in the media and political discourses. Finally, we discuss our findings and make suggestion for further research. The paper contributes to the literature on migrant criminalisation by exploring how criminalisation processes play out in the context of large-scale intraregional forced displacement in the global South. © 2021, The Author(s), under exclusive licence to Springer Nature B.V. part of Springer Nature.",Criminalisation; Peru; Securitisation; South-South migration; Venezuela,,"Freier, L.F.; Universidad del PácificoPeru; email: Lf.freierd@up.edu.pe",,Springer Science and Business Media B.V.,9281371,,,,English,Eur. J. Crim. Policy Res.,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85099442697
"Padrón M.C., Freier L.F.",57438920500;36542421000;,Invisible or ignored? COVID-19 and Venezuelan asylum seekers in Peru [¿Invisibles o invisibilizados? La COVID-19 y los solicitantes de refugio venezolanos en Perú],2021,Revista CIDOB d'Afers Internacionals,,129,,31,55,,,10.24241/rcai.2021.129.3.31,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124020962&doi=10.24241%2frcai.2021.129.3.31&partnerID=40&md5=ed89c6b41eb6ed6bedb31e919f510099,"Coordinadora de investigación, Equilibrium Centro para el Desarrollo Económico (Equilibrium CenDE), Lima, Peru; Profesora asociada de Ciencias Sociales y Políticas, Universidad del Pacífico, Lima, Peru","Padrón, M.C., Coordinadora de investigación, Equilibrium Centro para el Desarrollo Económico (Equilibrium CenDE), Lima, Peru; Freier, L.F., Profesora asociada de Ciencias Sociales y Políticas, Universidad del Pacífico, Lima, Peru","Peru receives the second-highest number of Venezuelans after Colombia and more Venezuelan asylum seekers than any other country in the world. This article explores how COVID-19 has affected the living conditions of this group in Peru. The role of the Peruvian state in producing irregularity is analysed, as well as how this condition exacerbates the Venezuelan population's socioeconomic vulnerability. The findings show the state's active participation in producing this irregularity, mainly by restricting access to the refugee system and failing to consider applying the expanded definition of the 1984 Cartagena Declaration on Refugees, which has increased socioeconomic vulnerability, especially during the pandemic. © 2021. All Rights Reserved.",América Latina; asylum seekers; CO-VID-19; COVID-19; Global South; irregularidad; irregularity; Latin America; Peru; Perú; solicitantes de refugio; Sur Global; vulnerabilidad; vulnerability,,"Padrón, M.C.; Coordinadora de investigación, Peru",,CIDOB (Barcelona centre for international affairs),11336595,,,,English; Spanish,Rev. CIDOB Afers Int.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85124020962
"Brumat L., Feline Freier L.",57225890574;36542421000;,Unpacking the unintended consequences of European migration governance: the case of South American migration policy liberalisation,2021,Journal of Ethnic and Migration Studies,,,,,,,3,10.1080/1369183X.2021.1999223,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119051654&doi=10.1080%2f1369183X.2021.1999223&partnerID=40&md5=11d2018162b3ce161c23c3bc6881d385,"Migration Policy Centre, European University Institute, Fiesole, Italy; Universidad del Pacífico, Lima, Peru","Brumat, L., Migration Policy Centre, European University Institute, Fiesole, Italy; Feline Freier, L., Universidad del Pacífico, Lima, Peru","Research on the external dimension of EU migration governance has focused on the EU’s interests, preferences, and policy efficiency and coherence. Little attention has been paid to the myriad ways both partner and third countries react to the union’s external action. We explore the European influence on immigration and refugee policy liberalisation in South America, a region not directly targeted by extra-regional migration governance. Based on the analysis of 130 original interviews with government officials and NGO and IO representatives in eight South American countries we show that - although South American policymakers generally regard the EU as a model of ‘efficiency’, in terms of the EU’s intra-regional mobility regime–the remarkable legislative liberalisation in the region took place in the context of both political and moral opposition to restrictive shifts in EU extra-regional migration governance. The paper contributes to the literature on the EU external migration governance, policy diffusion, and Latin American migration policies by uncovering some of the unintended consequences of European migration governance in South America. © 2021 Informa UK Limited, trading as Taylor & Francis Group.",EU; EU external action; migration governance; policy diffusion; South America,,"Brumat, L.; Migration Policy Centre, Italy; email: leiza.brumat@eui.eu",,Routledge,1369183X,,,,English,J. Ethn. Migr. Stud.,Article,Article in Press,,Scopus,2-s2.0-85119051654
"Zambrano-Barragán P., Ramírez Hernández S., Freier L.F., Luzes M., Sobczyk R., Rodríguez A., Beach C.",54396700300;57464180200;36542421000;57215097116;57189038400;57464275300;57464229900;,The impact of COVID-19 on Venezuelan migrants’ access to health: A qualitative study in Colombian and Peruvian cities,2021,Journal of Migration and Health,3,,100029,,,,14,10.1016/j.jmh.2020.100029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111472697&doi=10.1016%2fj.jmh.2020.100029&partnerID=40&md5=75a7bc59711b9e160b81199d73a4bb72,"Inter-American Development Bank, 1300 New York Avenue NW, Washington, DC, 20577, United States; Princeton University, 119 Julis Romo Rabinowitz Building, Princeton, NJ  08540, United States; Political and Social Sciences Department, Universidad del Pacífico, Jr. Gral. Luis Sanchez Cerro, Lima, Jesus Maria, 2141, Peru; Centro de Investigación, Universidad del Pacífico, Jr. Gral. Luis Sanchez Cerro, Jesus MariaLima, 2141, Peru; Faculty of Political Science and Sociology, Department of Sociology, University of Granada, C/ Rector López Argüeta s/n, Granada, 18071, Spain; Oraloteca - Universidad del Magdalena, Carrera 32 No 22 – 08 Santa Marta D.T.C.H, Colombia; University College London, 14 Taviton Street, London, WC1H 0BW, United Kingdom","Zambrano-Barragán, P., Inter-American Development Bank, 1300 New York Avenue NW, Washington, DC, 20577, United States; Ramírez Hernández, S., Princeton University, 119 Julis Romo Rabinowitz Building, Princeton, NJ  08540, United States; Freier, L.F., Political and Social Sciences Department, Universidad del Pacífico, Jr. Gral. Luis Sanchez Cerro, Lima, Jesus Maria, 2141, Peru; Luzes, M., Centro de Investigación, Universidad del Pacífico, Jr. Gral. Luis Sanchez Cerro, Jesus MariaLima, 2141, Peru; Sobczyk, R., Faculty of Political Science and Sociology, Department of Sociology, University of Granada, C/ Rector López Argüeta s/n, Granada, 18071, Spain; Rodríguez, A., Oraloteca - Universidad del Magdalena, Carrera 32 No 22 – 08 Santa Marta D.T.C.H, Colombia; Beach, C., University College London, 14 Taviton Street, London, WC1H 0BW, United Kingdom","This research seeks to understand how COVID-19 has affected access to healthcare among migrants in Latin American cities. Using ethnographic research methods, we engaged with Venezuelans living in conditions of informality in four Colombian cities—Barranquilla, Cucuta, Riohacha, and Soacha—and three Peruvian cities—Lima, Trujillo, and Tumbes. We conducted 130 interviews of both Venezuelan migrants and state and non-governmental actors within the healthcare ecosystems of these cities. We found that forced migrants from Venezuela in both Colombia and Peru face common obstacles along their access trajectories to healthcare, which we summarize as legal, financial, and relating to discrimination and information asymmetry. By limiting effective access to care during the pandemic, these obstacles have also affected migrants’ ability to cover the costs of basic needs, particularly food and housing. Our study also found a prevalent reliance on alternative forms of care, such as telemedicine, easy-to-access pharmacies, and extralegal care networks. We conclude that COVID-19 has exacerbated preexisting conditions of informality and health inequities affecting Venezuelan migrants in Colombia and Peru. © 2020",Colombia; COVID-19; Forced migration; Healthcare; Informality; Peru,,"Zambrano-Barragán, P.; Inter-American Development Bank, 1300 New York Avenue NW, United States; email: pzambrano@iadb.org",,Elsevier B.V.,26666235,,,,English,J. Migr. Health,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85111472697
"Parent N., Freier L.F., Dawson W.",57200006481;36542421000;57226142538;,"Lost at sea, saved by Allah: religious coping on a migrant journey from Cape Verde to Brazil",2021,"Mental Health, Religion and Culture",24,7,,659,669,,,10.1080/13674676.2021.1919069,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110734814&doi=10.1080%2f13674676.2021.1919069&partnerID=40&md5=a0f71e121b72181129e182f60576487c,"Department of Geography, McGill University, Canada; Social and Political Science, Universidad del Pacífico, Lima, Peru; School of Journalism, University of California, Berkeley, CA, United States","Parent, N., Department of Geography, McGill University, Canada; Freier, L.F., Social and Political Science, Universidad del Pacífico, Lima, Peru; Dawson, W., School of Journalism, University of California, Berkeley, CA, United States","African migrants are taking longer and riskier journeys in the search of new destinations and improved opportunities. Elevated risks lead to feelings of stress, anxiety, and trauma, which makes the question of how migrants cope during such journeys an increasingly important area of research. Current research on migrant religious coping has focused on its use prior to departure and post-arrival. Few studies, however, have considered the role of religious coping during the process of migration. Based on interview data of three African shipwreck survivors travelling from Cape Verde to Brazil, this article discusses how they used religious coping as a positive coping strategy during a month spent lost on the Atlantic Ocean. The use of religious coping strategies directly after arrival is also explored. Through the analysis of this extreme case, the article contributes to the literatures on Muslim migrant religious coping and South-South migration from Africa to South America. © 2021 Informa UK Limited, trading as Taylor & Francis Group.",African migration; Brazil; Latin America; mental health; religious coping; South-South migration,adult; article; Atlantic Ocean; Brazil; Cape Verde; controlled study; coping behavior; human; interview; mental health; migrant; Muslim; ship; survivor; travel,"Parent, N.; Department of Geography, Canada; email: nicolas.parent@mail.mcgill.ca",,Routledge,13674676,,MHRCA,,English,Ment. Health Relig. Cult.,Article,Final,,Scopus,2-s2.0-85110734814
"Freier L.F., Micinski N.R., Tsourapas G.",36542421000;57189489800;55613919600;,Refugee commodification: the diffusion of refugee rent-seeking in the Global South,2021,Third World Quarterly,42,11,,2747,2766,,7,10.1080/01436597.2021.1956891,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107599088&doi=10.1080%2f01436597.2021.1956891&partnerID=40&md5=d36ec58895eab715c56cbcdc6792ee6b,"Department of Social and Political Science, Universidad del Pacífico, Lima, Peru; Department of Political Science, University of Maine, Orono, ME, United States; School of Social & Political Sciences, University of Glasgow, Glasgow, United Kingdom","Freier, L.F., Department of Social and Political Science, Universidad del Pacífico, Lima, Peru; Micinski, N.R., Department of Political Science, University of Maine, Orono, ME, United States; Tsourapas, G., School of Social & Political Sciences, University of Glasgow, Glasgow, United Kingdom","Do states in the Global South learn from each other regarding the management of forced migration? Although research has shown that refugees have recently been recast as an economic benefit for non-Western host states, little scholarly work exists on whether and how such a normative change is adopted across regions. In this article, we identify the diffusion of refugee rent-seeking behaviour, namely the use of host states’ geopolitical position as leverage to extract revenue from other states in exchange for maintaining refugees within their borders. We identify three types of diffusion–learning, cooperation and emulation–occurring at state, regional and international levels across the Global South. Drawing on a range of primary sources, we demonstrate the working of these three types across a range of empirical examples drawn from the Middle East, sub-Saharan Africa and South America. Overall, we identify a rising trend in the commodification of forced migration across refugee rentier states, while highlighting the need for further interregional research on policy diffusion outside the Global North. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",aid and capital flows; cooperation; Displacement; emulation; foreign policy; learning,aid flow; capital flow; forced migration; foreign policy; learning; refugee; rent seeking; Middle East; South America; Sub-Saharan Africa,"Tsourapas, G.; School of Social & Political Sciences, United Kingdom; email: gerasimos.tsourapas@glasgow.ac.uk",,Routledge,1436597,,,,English,Third World Q.,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85107599088
"Freier L.F., Bird M.",36542421000;56446392000;,Seeing «race» through a prism: Relational socio-racial hierarchies and immigration,2021,Melanges de la Casa de Velazquez,51,1,,251,253,,,10.4000/MCV.14743,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104289745&doi=10.4000%2fMCV.14743&partnerID=40&md5=69214c787f1020f38f21782f3dff6f3d,"Universidad del Pacífico, Peru","Freier, L.F., Universidad del Pacífico, Peru; Bird, M., Universidad del Pacífico, Peru",[No abstract available],,,,,Casa Velazquez,0076230X,,,,English,Melanges Casa Velazquez,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85104289745
"FREIER L.F., JARA S.C., LUZES M.",36542421000;57219928773;57215097116;,The plight of migrants and refugees in the pandemic,2020,Current History,119,820,,297,302,,3,10.1525/curh.2020.119.820.297,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096119300&doi=10.1525%2fcurh.2020.119.820.297&partnerID=40&md5=f571382923552d35277798bd03f5df98,"Universidad del Pacifico, Lima, Peru","FREIER, L.F., Universidad del Pacifico, Lima, Peru; JARA, S.C.; LUZES, M.",[No abstract available],,,,,Current History Inc.,113530,,,,English,Curr. Hist.,Article,Final,,Scopus,2-s2.0-85096119300
"Carroll H., Luzes M., Freier L.F., Bird M.D.",56157405800;57215097116;36542421000;56446392000;,The migration journey and mental health: Evidence from Venezuelan forced migration,2020,SSM - Population Health,10,,100551,,,,20,10.1016/j.ssmph.2020.100551,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079876245&doi=10.1016%2fj.ssmph.2020.100551&partnerID=40&md5=580d9f3c66f4d0cd3da0a385d37d92a7,"Harvard Medical School, United States; Boston University, United States; Universidad del Pacífico, Lima, Peru","Carroll, H., Harvard Medical School, United States, Boston University, United States; Luzes, M., Universidad del Pacífico, Lima, Peru; Freier, L.F., Universidad del Pacífico, Lima, Peru; Bird, M.D., Universidad del Pacífico, Lima, Peru",[No abstract available],Anxiety; Depression; Mental health; Migration; Peru; Venezuela,adult; aged; Article; educational status; employment status; evidence based practice; female; health status; human; male; mental health; migration; poverty; priority journal; risk factor; social status; social support; Venezuelan,"Carroll, H.; Boston University Medical Center, 720 Harrison Ave, United States; email: haley.carroll@bmc.org",,Elsevier Ltd,23528273,,,,English,SSM Popul. Health,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85079876245
"Freier L.F., Gauci J.-P.",36542421000;56730716100;,Refugee rights across regions: A comparative overview of legislative good practices in latin america and the EU,2020,Refugee Survey Quarterly,39,3,,,,,11,10.1093/RSQ/HDAA011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096980172&doi=10.1093%2fRSQ%2fHDAA011&partnerID=40&md5=f790e98b4aa57f67e69051466089e218,"Universidad Del Pacifico (Lima, Peru), Jr. Sanchez Cerro 2050, Jesus Maria, Lima 11, Peru; British Institute of International and Comparative Law, Charles Clore House, 17 Russell Square, London, WC1B 5JP, United Kingdom","Freier, L.F., Universidad Del Pacifico (Lima, Peru), Jr. Sanchez Cerro 2050, Jesus Maria, Lima 11, Peru; Gauci, J.-P., British Institute of International and Comparative Law, Charles Clore House, 17 Russell Square, London, WC1B 5JP, United Kingdom","The office of the United Nations High Commissioner for Refugees (UNHCR) has identified a number of legislative good practices in Latin American asylum and refugee laws. At the same time, academics and policy-makers have long called for crossregional comparative analyses of policies and laws to allow different regions to learn from each other's best practices. In this article, we compare refugee legislations of Latin American countries with European Union protection standards based on UNHCR's legislative good practices across three areas: (i) Core Principles and Scope of Protection; (ii) Procedural Safeguards and Guarantees for Vulnerable Groups; and (iii) Integration. We find that six of 19 refugee laws in Latin America provide more expansive protection than the Common European Asylum System framework, whereas other Latin American countries fall behind. The gap between Latin American legislations and European Union protection standards is closer regarding procedural safeguards, the protection of vulnerable groups, and integration provisions. Finally, Latin American countries, on average, score significantly below the European Union regarding the core principles of asylum and the scope of protection. In the second part of the article, we engage in a qualitative discussion of these legislative good practices to allow for cross-fertilization, and deliver policy recommendations. © Author(s) [2020]. All rights reserved.",Europe; Latin America; Legislative good practices; Refugee law; Srefugee protection; UNHCR,asylum seeker; European Union; human rights; immigration policy; legislation; policy making; refugee; service provision; United Nations; Europe; Latin America,,,Oxford University Press,10204067,,,,English,Refugee Surv. Q.,Review,Final,,Scopus,2-s2.0-85096980172
"Setién I.B., Blouin C., Freier L.F.",57325906800;57219966353;36542421000;,The situational element of massive violation of human rights in the extended refugee definition of cartagena: Towards its application to the venezuelan case [El elemento situacional de violación masiva de derechos humanos de la definición ampliada de cartagena: Hacia una aplicación en el caso venezolano],2020,Revista Chilena de Derecho,47,2,,385,410,,11,10.4067/S0718-34372020000200385,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096339110&doi=10.4067%2fS0718-34372020000200385&partnerID=40&md5=cb6da075f2294ebed32cefd7af7bc5c9,"Vicerrectora Académica, Universidad Antonio Ruiz de Montoya, Av Paso de Los Andes, Pueblo Libre, 970, Peru; Instituto de Democracia y Derechos Humanos de la Pontificia, Universidad Católica del Perú (IDEHPUCP) y Facultad de Derecho de la PUCP, Av. Universitaria 1801, San Miguel, Mexico; Centro de Investigación de la Universidad del Pacífico, Departamento Académico de Ciencias Sociales y Políticas, Jirón Luis Sánchez Cerro, Jesús María, 2050, Mexico","Setién, I.B., Vicerrectora Académica, Universidad Antonio Ruiz de Montoya, Av Paso de Los Andes, Pueblo Libre, 970, Peru; Blouin, C., Instituto de Democracia y Derechos Humanos de la Pontificia, Universidad Católica del Perú (IDEHPUCP) y Facultad de Derecho de la PUCP, Av. Universitaria 1801, San Miguel, Mexico; Freier, L.F., Centro de Investigación de la Universidad del Pacífico, Departamento Académico de Ciencias Sociales y Políticas, Jirón Luis Sánchez Cerro, Jesús María, 2050, Mexico","In the context of the liberalization of their regulatory frameworks, most countries in Latin America have incorporated the extended refugee definition of the 1984 Cartagena Declaration in their domestic legislation. However, this particular definition has only been applied in very few cases. In light of the mass displacement of Venezuelan migrants, and within a context of toughening migration policies, in general, and directed towards the Venezuelan population, in particular, it is necessary to discuss the possible application of the extended definition to this population. Without denying the importance of the political implications of such application, this article addresses the challenges in conceptualizing its situational elements from a legal perspective, specifically focusing on the massive violation of human rights. To do so, we propose a conceptual framework for understanding this particular situational element and its application to the Venezuelan case. © 2020 Pontificia Universidad Catolica de Chile. All rights reserved.",Cartagena Declaration; Extended refugee definition; Forced displacement; Mass human rights violation; Venezuela,,,,Pontificia Universidad Catolica de Chile 1,7160747,,,,Spanish,Rev. Chil. Derecho,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85096339110
"Freier L.F., Holloway K.",36542421000;57205398036;,The Impact of Tourist Visas on Intercontinental South-South Migration: Ecuador’s Policy of “Open Doors” as a Quasi-Experiment,2019,International Migration Review,53,4,,1171,1208,,13,10.1177/0197918318801068,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059900710&doi=10.1177%2f0197918318801068&partnerID=40&md5=60533a0c145229926d2e61b312680c19,"Universidad del Pacífico, Lima, Peru; Innovations for Poverty Action (IPA), United States","Freier, L.F., Universidad del Pacífico, Lima, Peru; Holloway, K., Innovations for Poverty Action (IPA), United States","Through the implementation of universal visa freedom from 2008 to 2010, Ecuador became one of the most accessible countries in the world. This article employs mixed methods to study the impact of the de facto opening of Ecuador’s borders on intercontinental south-south migration. First, we use a difference-in-difference design to show that Ecuador’s policy of universal visa freedom led to a significant increase of immigration from previously restricted nationalities in Africa, Asia, and the Caribbean. Complementary descriptive statistics and qualitative findings confirm the decisive impact visa freedom had on intercontinental south-south migration and suggest three main motives: taking advantage of Ecuador’s open doors as an exit option from origin countries, settlement in Ecuador based on relatively improved opportunities, and transmigration to third countries. Our findings imply that travel visa policies of southern countries significantly impact which new south-south flows emerge. © The Author(s) 2018.",,immigrant; immigration policy; international migration; policy implementation; tourist destination; Ecuador,"Freier, L.F.; Universidad del PacíficoPeru; email: lf.freierd@up.edu.pe",,SAGE Publications Ltd,1979183,,,,English,Int. Migr. Rev.,Article,Final,,Scopus,2-s2.0-85059900710
"Freier L.F., Parent N.",36542421000;57200006481;,The regional response to the Venezuelan exodus,2019,Current History,118,,,56,61,,25,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061477527&partnerID=40&md5=086a0cf56180422a327f4cf41b466f14,"Universidad del Pacífico in Lima, Peru, United States","Freier, L.F., Universidad del Pacífico in Lima, Peru, United States; Parent, N., Universidad del Pacífico in Lima, Peru, United States",[No abstract available],,,,,Current History Inc.,113530,,,,English,Curr. Hist.,Review,Final,,Scopus,2-s2.0-85061477527
"Freier L.F., Álvarez A.C., Arón V.",36542421000;57210892464;57210885303;,The suffering of the migrant: Cuban migration and the ecuadorian dream of free human mobility [El sufrimiento del migrante: la migración cubana en el sueño ecuatoriano de la libre movilidad],2019,Apuntes,46,84,,83,110,,2,10.21678/apuntes.84.1009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071774387&doi=10.21678%2fapuntes.84.1009&partnerID=40&md5=9f1668c267308960edaf4db9abef1757,"Universidad del Pacífico, Lima, Peru; University of California, Merced, United States","Freier, L.F., Universidad del Pacífico, Lima, Peru; Álvarez, A.C., University of California, Merced, United States; Arón, V., Universidad del Pacífico, Lima, Peru","This paper explores the tension between the concept of suffering as employed in Rafael Correa’s humanist migration discourse and the migratory experience of Cuban immigrants in Ecuador. Despite the former president’s revolutionary discourse, Cuban migrants face triple discrimination: social, economic and legal, in the context of both Ecuadorian and Cuban migration policies. This study contributes to the literature on migration and suffering, as well as the emerging literature on the discursive gaps inherent in Latin American immigration policy liberalization. © Creative Commons Attribution 3.0.",Cuba; Ecuador; Migration; Migration policy; South-south migration; Suffering,,,,Universidad del Pacífico Press,2521865,,,,English; Spanish,Apuntes,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85071774387
"Acosta D., Freier L.F.",55824145200;36542421000;,Regional governance of migration in South America,2018,Handbook of Migration and Globalisation,,,,69,85,,11,10.4337/9781785367519.00011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047930454&doi=10.4337%2f9781785367519.00011&partnerID=40&md5=9011f816291ef07a5ea880cd8eed17e3,"University of Bristol, United Kingdom; Universidad del Pacífico, Peru","Acosta, D., University of Bristol, United Kingdom; Freier, L.F., Universidad del Pacífico, Peru",[No abstract available],,,"Acosta, D.; University of BristolUnited Kingdom",,Edward Elgar Publishing Ltd.,,9781785367519; 9781785367502,,,English,Handb. of Migr. and Glob.,Book Chapter,Final,,Scopus,2-s2.0-85047930454
